Datetime,Symbol,Open,High,Low,Close,Volume
2025-06-30 20:42:00,QQQ,551.43,551.45,551.42,551.45,938.0
2025-06-30 20:43:00,QQQ,551.44,551.44,551.44,551.44,243.0
2025-06-30 20:44:00,QQQ,551.43,551.45,551.4,551.45,960.0
2025-06-30 20:45:00,QQQ,551.5298,551.5298,551.5298,551.5298,325.0
2025-06-30 20:46:00,QQQ,551.5,551.5,551.43,551.43,1970.0
2025-06-30 20:47:00,QQQ,551.4,551.43,551.389,551.43,1003.0
2025-06-30 20:48:00,QQQ,551.38,551.38,551.32,551.32,7014.0
2025-06-30 20:49:00,QQQ,551.29,551.29,551.29,551.29,439.0
2025-06-30 20:50:00,QQQ,551.44,551.44,551.44,551.44,340.0
2025-06-30 20:51:00,QQQ,551.419,551.42,551.34,551.41,8419.0
2025-06-30 20:52:00,QQQ,551.4,551.49,551.4,551.49,6897.0
2025-06-30 20:53:00,QQQ,551.4,551.4,551.4,551.4,785.0
2025-06-30 20:54:00,QQQ,551.36,551.36,551.33,551.33,1546.0
2025-06-30 20:55:00,QQQ,551.35,551.35,551.35,551.35,442.0
2025-06-30 20:56:00,QQQ,551.38,551.38,551.32,551.35,3331.0
2025-06-30 20:57:00,QQQ,551.38,551.38,551.32,551.32,1226.0
2025-06-30 20:58:00,QQQ,551.29,551.29,551.23,551.29,1108.0
2025-06-30 20:59:00,QQQ,551.28,551.28,551.19,551.19,4882.0
2025-06-30 21:01:00,QQQ,551.29,551.29,551.29,551.29,305.0
2025-06-30 21:02:00,QQQ,551.25,551.3,551.25,551.3,448.0
2025-06-30 21:04:00,QQQ,551.23,551.25,551.23,551.25,575.0
2025-06-30 21:06:00,QQQ,551.27,551.3,551.27,551.3,733.0
2025-06-30 21:08:00,QQQ,551.31,551.31,551.31,551.31,166.0
2025-06-30 21:09:00,QQQ,551.31,551.31,551.31,551.31,515.0
2025-06-30 21:10:00,QQQ,551.32,551.32,551.31,551.31,1476.0
2025-06-30 21:11:00,QQQ,551.29,551.29,551.29,551.29,370.0
2025-06-30 21:12:00,QQQ,551.2817,551.2817,551.2817,551.2817,303.0
2025-06-30 21:13:00,QQQ,551.29,551.31,551.29,551.31,388.0
2025-06-30 21:14:00,QQQ,551.29,551.29,551.2801,551.2801,347.0
2025-06-30 21:15:00,QQQ,551.32,551.3604,551.3007,551.3604,2263.0
2025-06-30 21:16:00,QQQ,551.44,551.49,551.44,551.47,13451.0
2025-06-30 21:19:00,QQQ,551.42,551.42,551.42,551.42,185.0
2025-06-30 21:20:00,QQQ,551.44,551.46,551.3,551.3,6689.0
2025-06-30 21:21:00,QQQ,551.31,551.31,551.293,551.293,614.0
2025-06-30 21:22:00,QQQ,551.34,551.4478,551.34,551.4478,6031.0
2025-06-30 21:26:00,QQQ,551.4,551.4,551.36,551.36,944.0
2025-06-30 21:27:00,QQQ,551.37,551.4,551.37,551.37,626.0
2025-06-30 21:28:00,QQQ,551.38,551.45,551.37,551.45,739.0
2025-06-30 21:29:00,QQQ,551.38,551.45,551.38,551.45,912.0
2025-06-30 21:30:00,QQQ,551.5,551.5,551.37,551.37,4395.0
2025-06-30 21:31:00,QQQ,551.36,551.37,551.36,551.37,5403.0
2025-06-30 21:32:00,QQQ,551.3695,551.3695,551.3695,551.3695,818.0
2025-06-30 21:33:00,QQQ,551.37,551.37,551.35,551.35,508.0
2025-06-30 21:36:00,QQQ,551.36,551.37,551.36,551.37,3084.0
2025-06-30 21:37:00,QQQ,551.37,551.37,551.37,551.37,430.0
2025-06-30 21:38:00,QQQ,551.36,551.46,551.36,551.45,9065.0
2025-06-30 21:40:00,QQQ,551.39,551.39,551.39,551.39,171.0
2025-06-30 21:42:00,QQQ,551.39,551.39,551.39,551.39,330.0
2025-06-30 21:46:00,QQQ,551.39,551.4,551.36,551.38,5998.0
2025-06-30 21:47:00,QQQ,551.38,551.38,551.36,551.36,1110.0
2025-06-30 21:51:00,QQQ,551.36,551.4,551.36,551.4,1119.0
2025-06-30 21:52:00,QQQ,551.4,551.44,551.39,551.4,3790.0
2025-06-30 21:53:00,QQQ,551.39,551.4,551.39,551.4,431.0
2025-06-30 21:55:00,QQQ,551.42,551.42,551.38,551.4,1177.0
2025-06-30 21:58:00,QQQ,551.46,551.5,551.46,551.5,8181.0
2025-06-30 21:59:00,QQQ,551.48,551.52,551.48,551.51,6267.0
2025-06-30 22:00:00,QQQ,551.45,551.48,551.09,551.09,30129.0
2025-06-30 22:01:00,QQQ,551.13,551.18,551.09,551.12,7197.0
2025-06-30 22:02:00,QQQ,551.16,551.16,551.02,551.02,11909.0
2025-06-30 22:03:00,QQQ,551.12,551.13,551.11,551.12,5718.0
2025-06-30 22:04:00,QQQ,551.17,551.48,551.17,551.42,2252.0
2025-06-30 22:05:00,QQQ,551.47,551.47,551.4,551.4,3117.0
2025-06-30 22:07:00,QQQ,551.41,551.42,551.4,551.42,1832.0
2025-06-30 22:08:00,QQQ,551.46,551.63,551.45,551.6,3337.0
2025-06-30 22:09:00,QQQ,551.64,551.64,551.58,551.59,1094.0
2025-06-30 22:10:00,QQQ,551.61,551.61,551.59,551.59,1132.0
2025-06-30 22:11:00,QQQ,551.56,551.56,551.56,551.56,940.0
2025-06-30 22:12:00,QQQ,551.569,551.569,551.52,551.52,392.0
2025-06-30 22:14:00,QQQ,551.5603,551.5603,551.5603,551.5603,179.0
2025-06-30 22:15:00,QQQ,551.57,551.57,551.57,551.57,446.0
2025-06-30 22:16:00,QQQ,551.57,551.57,551.57,551.57,376.0
2025-06-30 22:17:00,QQQ,551.46,551.46,551.45,551.45,3027.0
2025-06-30 22:22:00,QQQ,551.48,551.48,551.4701,551.4701,412.0
2025-06-30 22:23:00,QQQ,551.5,551.5,551.5,551.5,664.0
2025-06-30 22:25:00,QQQ,551.42,551.4599,551.42,551.4599,2359.0
2025-06-30 22:26:00,QQQ,551.4,551.4,551.4,551.4,191.0
2025-06-30 22:29:00,QQQ,551.48,551.48,551.48,551.48,134.0
2025-06-30 22:30:00,QQQ,551.47,551.47,551.47,551.47,153.0
2025-06-30 22:31:00,QQQ,551.44,551.47,551.44,551.47,672.0
2025-06-30 22:32:00,QQQ,551.5,551.5,551.5,551.5,1012.0
2025-06-30 22:35:00,QQQ,551.27,551.27,551.27,551.27,343.0
2025-06-30 22:36:00,QQQ,551.2612,551.31,551.2612,551.31,765.0
2025-06-30 22:37:00,QQQ,551.26,551.32,551.26,551.32,807.0
2025-06-30 22:38:00,QQQ,551.26,551.26,551.26,551.26,242.0
2025-06-30 22:39:00,QQQ,551.34,551.34,551.31,551.32,2606.0
2025-06-30 22:40:00,QQQ,551.28,551.28,551.25,551.25,2196.0
2025-06-30 22:41:00,QQQ,551.24,551.24,551.24,551.24,303.0
2025-06-30 22:42:00,QQQ,551.28,551.28,551.28,551.28,307.0
2025-06-30 22:43:00,QQQ,551.3,551.3,551.3,551.3,127.0
2025-06-30 22:44:00,QQQ,551.3,551.3,551.3,551.3,257.0
2025-06-30 22:45:00,QQQ,551.21,551.22,551.21,551.22,1543.0
2025-06-30 22:47:00,QQQ,551.26,551.31,551.26,551.31,2370.0
2025-06-30 22:49:00,QQQ,551.24,551.24,551.24,551.24,183.0
2025-06-30 22:50:00,QQQ,551.2089,551.2095,551.2089,551.2095,317.0
2025-06-30 22:51:00,QQQ,551.16,551.16,551.16,551.16,109.0
2025-06-30 22:55:00,QQQ,551.12,551.13,550.98,550.98,2952.0
2025-06-30 22:56:00,QQQ,551.0999,551.0999,551.0999,551.0999,112.0
2025-06-30 22:57:00,QQQ,551.05,551.05,551.0,551.0,2878.0
2025-06-30 22:59:00,QQQ,550.95,550.95,550.95,550.95,358.0
2025-06-30 23:00:00,QQQ,551.02,551.1,551.02,551.1,835.0
2025-06-30 23:01:00,QQQ,551.15,551.15,551.15,551.15,260.0
2025-06-30 23:02:00,QQQ,551.19,551.19,551.19,551.19,188.0
2025-06-30 23:03:00,QQQ,551.19,551.2,551.18,551.2,1304.0
2025-06-30 23:10:00,QQQ,551.15,551.15,551.15,551.15,130.0
